影城名称,放映系统,开业时间,银幕宽度(米),银幕高度(米),座位数(个),备注
沈阳辽宁科技馆,IMAX GT Laser,2016年3月12日 ,28.98,22,596,"12聲道音響系統
科教影院
现放映IMAX激光版本科普影片"
沈阳万达影城(铁西万达广场店) ,IMAX数字,2011年11月8日,22.24,11.572,401,-
沈阳金逸影城(龙之梦店) ,IMAX数字,2012年4月30日,    ,  ,498,-
沈阳万达影城(北一路万达广场店) ,IMAX数字,2012年8月31日,  ,   ,443,-
沈阳CGV影城(金融中心店) ,IMAX数字,2013年8月28日,  ,  ,421,-
沈阳万达影城(奥体万达广场店) ,IMAX Commercial Laser ,2019年8月16日,22.19,11.61,405,12聲道音響系統
昆明大都LCC光魔激光影院,IMAX GT Laser,2016年6月8日,23.1,17.37,363,12聲道音響系統
昆明百老汇影城(顺城购物中心店) ,IMAX数字,2010年1月4日,21.22,11.05,294,-
昆明万达影城(同德广场店) ,IMAX数字,2014年10月18日,20.75,11.93,263,-
昆明CGV影城(海伦店) ,IMAX数字,2015年12月18日,19.95,10.65,292,-
昆明CGV影城(呈贡店) ,IMAX数字,2016年6月18日,   ,  ,368,-
昆明上影影城(西城IMAX店),IMAX数字,2017年10月1日,  ,  ,388,-
昆明万达影城(西山万达广场店) ,IMAX Commercial Laser ,2019年8月23日,22.13,11.66,352,12聲道音響系統
昆明万达影城（新迎新城店）,IMAX数字,2019年10月18日,20.54,10.79,226,-
昆明万达影城（南亚风情店）,IMAX数字,2019年11月9日,17.33,8.95,291,-
西双版纳万达影城(万达广场店) ,IMAX数字,2015年9月26日,16.93,9.655,238,-
大理博纳国际影城 ,IMAX数字,2017年10月1日,20.13,10.45,321,-
曲靖万达影城(经开万达广场店) ,IMAX数字,2017年10月27日,20.86,10.81,408,-
武汉万达影城(经开万达广场店) ,IMAX数字,2011年8月27日,18.2,10.05,259,-
武汉金逸影城(销品茂IMAX店) ,IMAX数字,2012年12月20日,16.59,9.1,304,-
武汉万达影城(菱角湖万达广场店) ,IMAX数字,2013年3月31日,19.5,10.77,316,-
武汉万达影城(汉街万达广场店) ,IMAX数字,2013年9月28日,19.85,11.06,331,-
武汉CGV影城(奥山店) ,IMAX数字,2013年11月16日,22.91,13.04,418,-
武汉百老汇影城(汉阳人信汇店) ,IMAX数字,2014年5月1日,21.31,12.1,350,-
武汉CGV影城(光谷店) ,IMAX数字,2014年9月29日,20.46,11.43,328,-
武汉金逸影城IMAX(光美荟聚店) ,IMAX数字,2015年4月30日,19.52,10.39,278,-
武汉华谊兄弟影院(光谷店) ,IMAX数字,2015年7月11日,19.83,10.07,417,-
武汉博纳国际影城(银泰店) ,IMAX数字,2016年2月8日,23.1,12.12,377,-
武汉CGV影城(凯德西城店) ,IMAX数字,2017年4月28日,20.7,11.685,269,-
武汉金逸影城(蔡甸IMAX店) ,IMAX数字,2017年10月1日,20.06,10.4,275,-
武汉CGV影城(永旺金桥店) ,IMAX数字,2017年12月7日,24.03,12.4,392,-
武汉CGV影城(汉阳江腾广场店) ,IMAX数字,2017年12月22日,20.02,10.48,239,-
 武汉UA新民众乐园电影城,IMAX数字,2018年11月9日,19.07,9.98,291,"原武汉环艺新民众乐园电影城)
中國大陸地區第6家IMAX影院"
武汉武商摩尔国际电影城（国广店）,IMAX Commercial Laser ,2019年12月22日,21.34,11.1,294,12聲道音響系統
襄阳万达影城(万达广场店),IMAX数字,2011年11月8日,-,-,333,-
襄阳华夏东宝影城（襄悦城店）,IMAX GT Laser,待定,,,   ,12聲道音響系統
宜昌万达影城(万达广场店),IMAX数字,2011年11月8日,-,-,318,-
宜昌CGV影城(国贸大厦店) ,IMAX数字,2019年1月3日,20.86,10.99,264,-
宜昌万达影城(夷陵万达广场店),IMAX数字,2020年12月18日,18.74,9.72,307,-
荆州万达影城(万达广场店) ,IMAX数字,2014年9月20日,,  ,411,-
黄石万达影城(万达广场店) ,IMAX数字,2015年7月3日,   ,  ,387,-
荆门万达影城(万达广场店) ,IMAX数字,2016年6月3日,   ,  ,397,-
十堰万达影城(万达广场店) ,IMAX数字,2016年8月5日,22.61,11.94,352,-
